对km(){kvv=(d+d)*di(v<d){kvv=(d*(d+d)*d)}r}#进行SLR(1)分析法的分析过程如下
状态栈			符号栈		输入串		ACTION		GOTO	
0                 	#         	km(){kvv=(d+d)*di(v<d){kvv=(d*(d+d)*d)}r}#		S2		
0 2               	#k        	m(){kvv=(d+d)*di(v<d){kvv=(d*(d+d)*d)}r}#		S3		
0 2 3             	#km       	(){kvv=(d+d)*di(v<d){kvv=(d*(d+d)*d)}r}#		S4		
0 2 3 4           	#km(      	){kvv=(d+d)*di(v<d){kvv=(d*(d+d)*d)}r}#		S5		
0 2 3 4 5         	#km()     	{kvv=(d+d)*di(v<d){kvv=(d*(d+d)*d)}r}#		S6		
0 2 3 4 5 6       	#km(){    	kvv=(d+d)*di(v<d){kvv=(d*(d+d)*d)}r}#		S8		
0 2 3 4 5 6 8     	#km(){k   	vv=(d+d)*di(v<d){kvv=(d*(d+d)*d)}r}#		S13		
0 2 3 4 5 6 8 13  	#km(){kv  	v=(d+d)*di(v<d){kvv=(d*(d+d)*d)}r}#		S9		
0 2 3 4 5 6 8 13 9	#km(){kvv 	=(d+d)*di(v<d){kvv=(d*(d+d)*d)}r}#		S14		
0 2 3 4 5 6 8 13 9 14	#km(){kvv=	(d+d)*di(v<d){kvv=(d*(d+d)*d)}r}#		S19		
0 2 3 4 5 6 8 13 9 14 19	#km(){kvv=(	d+d)*di(v<d){kvv=(d*(d+d)*d)}r}#		S20		
0 2 3 4 5 6 8 13 9 14 19 20	#km(){kvv=(d	+d)*di(v<d){kvv=(d*(d+d)*d)}r}#		R14		27
0 2 3 4 5 6 8 13 9 14 19 27	#km(){kvv=(E	+d)*di(v<d){kvv=(d*(d+d)*d)}r}#		S23		
0 2 3 4 5 6 8 13 9 14 19 27 23	#km(){kvv=(E+	d)*di(v<d){kvv=(d*(d+d)*d)}r}#		S20		
0 2 3 4 5 6 8 13 9 14 19 27 23 20	#km(){kvv=(E+d	)*di(v<d){kvv=(d*(d+d)*d)}r}#		R14		29
0 2 3 4 5 6 8 13 9 14 19 27 23 29	#km(){kvv=(E+E	)*di(v<d){kvv=(d*(d+d)*d)}r}#		R9		27
0 2 3 4 5 6 8 13 9 14 19 27	#km(){kvv=(E	)*di(v<d){kvv=(d*(d+d)*d)}r}#		S33		
0 2 3 4 5 6 8 13 9 14 19 27 33	#km(){kvv=(E)	*di(v<d){kvv=(d*(d+d)*d)}r}#		R13		18
0 2 3 4 5 6 8 13 9 14 18	#km(){kvv=E	*di(v<d){kvv=(d*(d+d)*d)}r}#		S25		
0 2 3 4 5 6 8 13 9 14 18 25	#km(){kvv=E*	di(v<d){kvv=(d*(d+d)*d)}r}#		S20		
0 2 3 4 5 6 8 13 9 14 18 25 20	#km(){kvv=E*d	i(v<d){kvv=(d*(d+d)*d)}r}#		R14		31
0 2 3 4 5 6 8 13 9 14 18 25 31	#km(){kvv=E*E	i(v<d){kvv=(d*(d+d)*d)}r}#		R11		18
0 2 3 4 5 6 8 13 9 14 18	#km(){kvv=E	i(v<d){kvv=(d*(d+d)*d)}r}#		R3		17
0 2 3 4 5 6 8 13 17	#km(){kvA 	i(v<d){kvv=(d*(d+d)*d)}r}#		R2		7
0 2 3 4 5 6 7     	#km(){A   	i(v<d){kvv=(d*(d+d)*d)}r}#		S11		
0 2 3 4 5 6 7 11  	#km(){Ai  	(v<d){kvv=(d*(d+d)*d)}r}#		S15		
0 2 3 4 5 6 7 11 15	#km(){Ai( 	v<d){kvv=(d*(d+d)*d)}r}#		S21		
0 2 3 4 5 6 7 11 15 21	#km(){Ai(v	<d){kvv=(d*(d+d)*d)}r}#		S28		
0 2 3 4 5 6 7 11 15 21 28	#km(){Ai(v<	d){kvv=(d*(d+d)*d)}r}#		S34		
0 2 3 4 5 6 7 11 15 21 28 34	#km(){Ai(v<d	){kvv=(d*(d+d)*d)}r}#		S35		
0 2 3 4 5 6 7 11 15 21 28 34 35	#km(){Ai(v<d)	{kvv=(d*(d+d)*d)}r}#		S36		
0 2 3 4 5 6 7 11 15 21 28 34 35 36	#km(){Ai(v<d){	kvv=(d*(d+d)*d)}r}#		S8		
0 2 3 4 5 6 7 11 15 21 28 34 35 36 8	#km(){Ai(v<d){k	vv=(d*(d+d)*d)}r}#		S13		
0 2 3 4 5 6 7 11 15 21 28 34 35 36 8 13	#km(){Ai(v<d){kv	v=(d*(d+d)*d)}r}#		S9		
0 2 3 4 5 6 7 11 15 21 28 34 35 36 8 13 9	#km(){Ai(v<d){kvv	=(d*(d+d)*d)}r}#		S14		
0 2 3 4 5 6 7 11 15 21 28 34 35 36 8 13 9 14	#km(){Ai(v<d){kvv=	(d*(d+d)*d)}r}#		S19		
0 2 3 4 5 6 7 11 15 21 28 34 35 36 8 13 9 14 19	#km(){Ai(v<d){kvv=(	d*(d+d)*d)}r}#		S20		
0 2 3 4 5 6 7 11 15 21 28 34 35 36 8 13 9 14 19 20	#km(){Ai(v<d){kvv=(d	*(d+d)*d)}r}#		R14		27
0 2 3 4 5 6 7 11 15 21 28 34 35 36 8 13 9 14 19 27	#km(){Ai(v<d){kvv=(E	*(d+d)*d)}r}#		S25		
0 2 3 4 5 6 7 11 15 21 28 34 35 36 8 13 9 14 19 27 25	#km(){Ai(v<d){kvv=(E*	(d+d)*d)}r}#		S19		
0 2 3 4 5 6 7 11 15 21 28 34 35 36 8 13 9 14 19 27 25 19	#km(){Ai(v<d){kvv=(E*(	d+d)*d)}r}#		S20		
0 2 3 4 5 6 7 11 15 21 28 34 35 36 8 13 9 14 19 27 25 19 20	#km(){Ai(v<d){kvv=(E*(d	+d)*d)}r}#		R14		27
0 2 3 4 5 6 7 11 15 21 28 34 35 36 8 13 9 14 19 27 25 19 27	#km(){Ai(v<d){kvv=(E*(E	+d)*d)}r}#		S23		
0 2 3 4 5 6 7 11 15 21 28 34 35 36 8 13 9 14 19 27 25 19 27 23	#km(){Ai(v<d){kvv=(E*(E+	 d)*d)}r}#		S20		
0 2 3 4 5 6 7 11 15 21 28 34 35 36 8 13 9 14 19 27 25 19 27 23 20	#km(){Ai(v<d){kvv=(E*(E+d	  )*d)}r}#		R14		29
0 2 3 4 5 6 7 11 15 21 28 34 35 36 8 13 9 14 19 27 25 19 27 23 29	#km(){Ai(v<d){kvv=(E*(E+E	  )*d)}r}#		R9		27
0 2 3 4 5 6 7 11 15 21 28 34 35 36 8 13 9 14 19 27 25 19 27	#km(){Ai(v<d){kvv=(E*(E	  )*d)}r}#		S33		
0 2 3 4 5 6 7 11 15 21 28 34 35 36 8 13 9 14 19 27 25 19 27 33	#km(){Ai(v<d){kvv=(E*(E)	   *d)}r}#		R13		31
0 2 3 4 5 6 7 11 15 21 28 34 35 36 8 13 9 14 19 27 25 31	#km(){Ai(v<d){kvv=(E*E	   *d)}r}#		R11		27
0 2 3 4 5 6 7 11 15 21 28 34 35 36 8 13 9 14 19 27	#km(){Ai(v<d){kvv=(E	   *d)}r}#		S25		
0 2 3 4 5 6 7 11 15 21 28 34 35 36 8 13 9 14 19 27 25	#km(){Ai(v<d){kvv=(E*	    d)}r}#		S20		
0 2 3 4 5 6 7 11 15 21 28 34 35 36 8 13 9 14 19 27 25 20	#km(){Ai(v<d){kvv=(E*d	     )}r}#		R14		31
0 2 3 4 5 6 7 11 15 21 28 34 35 36 8 13 9 14 19 27 25 31	#km(){Ai(v<d){kvv=(E*E	     )}r}#		R11		27
0 2 3 4 5 6 7 11 15 21 28 34 35 36 8 13 9 14 19 27	#km(){Ai(v<d){kvv=(E	     )}r}#		S33		
0 2 3 4 5 6 7 11 15 21 28 34 35 36 8 13 9 14 19 27 33	#km(){Ai(v<d){kvv=(E)	      }r}#		R13		18
0 2 3 4 5 6 7 11 15 21 28 34 35 36 8 13 9 14 18	#km(){Ai(v<d){kvv=E	      }r}#		R3		17
0 2 3 4 5 6 7 11 15 21 28 34 35 36 8 13 17	#km(){Ai(v<d){kvA	      }r}#		R2		37
0 2 3 4 5 6 7 11 15 21 28 34 35 36 37	#km(){Ai(v<d){A	      }r}#		S38		
0 2 3 4 5 6 7 11 15 21 28 34 35 36 37 38	#km(){Ai(v<d){A}	       r}#		R5		12
0 2 3 4 5 6 7 12  	#km(){AI  	       r}#		S16		
0 2 3 4 5 6 7 12 16	#km(){AIr 	        }#		S22		
0 2 3 4 5 6 7 12 16 22	#km(){AIr}	         #		R1		1
0 1               	#P        	         #		acc

km(){kvv=(d+d)*di(v<d){kvv=(d*(d+d)*d)}r}#为合法字符串
