SLR(1)分析表如下
状态		ACTION					GOTO		
	k	m	(	)	{	r	}	i	v	<	d	>	=	+	-	*	/	#	P	K	A	I	C	E	T	F	V	
0	s1	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
1	None	s2	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
2	None	None	s3	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
3	None	None	None	s4	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
4	None	None	None	None	s5	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
5	s8	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	6	7	None	None	None	None	None	None	None	
6	None	None	None	None	None	s9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
7	None	None	None	None	None	None	None	None	s11	None	None	None	None	None	None	None	None	None	None	None	10	None	None	None	None	None	None	
8	None	None	None	None	None	None	None	None	s12	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
9	None	None	None	None	None	None	s13	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
10	None	None	None	None	None	r2	None	s15	None	None	None	None	None	None	None	None	None	None	None	None	None	14	None	None	None	None	None	
11	None	None	None	None	None	None	None	None	None	None	None	None	s16	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
12	None	None	None	None	None	None	None	None	r6	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
13	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	acc	None	None	None	None	None	None	None	None	None	
14	None	None	None	None	None	r1	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
15	None	None	s17	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
16	None	None	s21	None	None	None	None	None	None	None	s22	None	None	None	None	None	None	None	None	None	None	None	None	18	19	20	None	
17	None	None	None	None	None	None	None	None	s24	None	None	None	None	None	None	None	None	None	None	None	None	None	23	None	None	None	None	
18	None	None	None	None	None	r7	r7	r7	None	None	None	None	None	s25	s26	None	None	None	None	None	None	None	None	None	None	None	None	
19	None	None	None	r10	None	r10	r10	r10	None	None	None	None	None	r10	r10	s27	s28	None	None	None	None	None	None	None	None	None	None	
20	None	None	None	r13	None	r13	r13	r13	None	None	None	None	None	r13	r13	r13	r13	None	None	None	None	None	None	None	None	None	None	
21	None	None	s21	None	None	None	None	None	None	None	s22	None	None	None	None	None	None	None	None	None	None	None	None	29	19	20	None	
22	None	None	None	r15	None	r15	r15	r15	None	None	None	None	None	r15	r15	r15	r15	None	None	None	None	None	None	None	None	None	None	
23	None	None	None	s30	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
24	None	None	None	None	None	None	None	None	None	s31	None	s32	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
25	None	None	s21	None	None	None	None	None	None	None	s22	None	None	None	None	None	None	None	None	None	None	None	None	None	33	20	None	
26	None	None	s21	None	None	None	None	None	None	None	s22	None	None	None	None	None	None	None	None	None	None	None	None	None	34	20	None	
27	None	None	s21	None	None	None	None	None	None	None	s22	None	None	None	None	None	None	None	None	None	None	None	None	None	None	35	None	
28	None	None	s21	None	None	None	None	None	None	None	s22	None	None	None	None	None	None	None	None	None	None	None	None	None	None	36	None	
29	None	None	None	s37	None	None	None	None	None	None	None	None	None	s25	s26	None	None	None	None	None	None	None	None	None	None	None	None	
30	None	None	None	None	s38	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
31	None	None	None	None	None	None	None	None	None	None	s39	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
32	None	None	None	None	None	None	None	None	None	None	s40	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
33	None	None	None	r8	None	r8	r8	r8	None	None	None	None	None	r8	r8	s27	s28	None	None	None	None	None	None	None	None	None	None	
34	None	None	None	r9	None	r9	r9	r9	None	None	None	None	None	r9	r9	s27	s28	None	None	None	None	None	None	None	None	None	None	
35	None	None	None	r11	None	r11	r11	r11	None	None	None	None	None	r11	r11	r11	r11	None	None	None	None	None	None	None	None	None	None	
36	None	None	None	r12	None	r12	r12	r12	None	None	None	None	None	r12	r12	r12	r12	None	None	None	None	None	None	None	None	None	None	
37	None	None	None	r14	None	r14	r14	r14	None	None	None	None	None	r14	r14	r14	r14	None	None	None	None	None	None	None	None	None	None	
38	None	None	None	None	None	None	None	None	s11	None	None	None	None	None	None	None	None	None	None	None	41	None	None	None	None	None	None	
39	None	None	None	r4	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
40	None	None	None	r5	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
41	None	None	None	None	None	None	s42	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
42	None	None	None	None	None	r3	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
