SLR(1)分析表如下
状态		ACTION					GOTO		
	k	m	(	)	{	r	}	v	=	i	<	d	>	+	-	*	/	#	P	A	I	E	O	C	
0	S2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	
1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	acc	-1	-1	-1	-1	-1	-1	
2	-1	S3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
3	-1	-1	S4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
4	-1	-1	-1	S5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
5	-1	-1	-1	-1	S6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
6	S8	-1	-1	-1	-1	-1	-1	S9	-1	S11	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	10	-1	-1	-1	
7	-1	-1	-1	-1	-1	-1	-1	-1	-1	S11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	
8	-1	-1	-1	-1	-1	-1	-1	S13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
9	-1	-1	-1	-1	-1	-1	-1	-1	S14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
10	-1	-1	-1	-1	-1	-1	R4	-1	-1	R4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
11	-1	-1	S15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
12	-1	-1	-1	-1	-1	S16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
13	S8	-1	-1	-1	-1	-1	-1	S9	-1	S11	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	10	-1	-1	-1	
14	-1	-1	S19	-1	-1	-1	-1	-1	-1	-1	-1	S20	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	-1	-1	
15	-1	-1	-1	-1	-1	-1	-1	S21	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
16	-1	-1	-1	-1	-1	-1	S22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
17	-1	-1	-1	-1	-1	-1	R2	-1	-1	R2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
18	-1	-1	-1	-1	-1	-1	R3	-1	-1	R3	-1	-1	-1	S23	S24	S25	S26	-1	-1	-1	-1	-1	-1	-1	
19	-1	-1	S19	-1	-1	-1	-1	-1	-1	-1	-1	S20	-1	-1	-1	-1	-1	-1	-1	-1	-1	27	-1	-1	
20	-1	-1	-1	R14	-1	-1	R14	-1	-1	R14	-1	-1	-1	R14	R14	R14	R14	-1	-1	-1	-1	-1	-1	-1	
21	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	S28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	R1	-1	-1	-1	-1	-1	-1	
23	-1	-1	S19	-1	-1	-1	-1	-1	-1	-1	-1	S20	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	-1	-1	
24	-1	-1	S19	-1	-1	-1	-1	-1	-1	-1	-1	S20	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	
25	-1	-1	S19	-1	-1	-1	-1	-1	-1	-1	-1	S20	-1	-1	-1	-1	-1	-1	-1	-1	-1	31	-1	-1	
26	-1	-1	S19	-1	-1	-1	-1	-1	-1	-1	-1	S20	-1	-1	-1	-1	-1	-1	-1	-1	-1	32	-1	-1	
27	-1	-1	-1	S33	-1	-1	-1	-1	-1	-1	-1	-1	-1	S23	S24	S25	S26	-1	-1	-1	-1	-1	-1	-1	
28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	S34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
29	-1	-1	-1	R9	-1	-1	R9	-1	-1	R9	-1	-1	-1	R9	R9	R9	R9	-1	-1	-1	-1	-1	-1	-1	
30	-1	-1	-1	R10	-1	-1	R10	-1	-1	R10	-1	-1	-1	R10	R10	R10	R10	-1	-1	-1	-1	-1	-1	-1	
31	-1	-1	-1	R11	-1	-1	R11	-1	-1	R11	-1	-1	-1	R11	R11	R11	R11	-1	-1	-1	-1	-1	-1	-1	
32	-1	-1	-1	R12	-1	-1	R12	-1	-1	R12	-1	-1	-1	R12	R12	R12	R12	-1	-1	-1	-1	-1	-1	-1	
33	-1	-1	-1	R13	-1	-1	R13	-1	-1	R13	-1	-1	-1	R13	R13	R13	R13	-1	-1	-1	-1	-1	-1	-1	
34	-1	-1	-1	S35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
35	-1	-1	-1	-1	S36	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
36	S8	-1	-1	-1	-1	-1	-1	S9	-1	S11	-1	-1	-1	-1	-1	-1	-1	-1	-1	37	10	-1	-1	-1	
37	-1	-1	-1	-1	-1	-1	S38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
38	-1	-1	-1	-1	-1	R5	R5	-1	-1	R5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
